"Area.Code","Cogs","DifferenceBetweenActualandTargetProfit","Date","Inventory.Margin","Margin","Market_size","Market","Marketing","Product_line","Product_type","Product","Profit","Sales","State","Target_cogs","Target_margin","Target_profit","Target_sales","Total_expenses","Type","Log_Profit","Sqrt_Profit","BoxCox_Profit","YeoJohnson_Profit"
303,51,-35,"10/1/2012",503,71,"Major Market","Central",46,"Leaves","Herbal Tea","Lemon",1e-05,122,"Colorado",30,60,30,90,76,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
970,52,-24,"10/1/2012",405,71,"Major Market","Central",17,"Leaves","Herbal Tea","Mint",26,123,"Colorado",30,60,50,90,45,"Decaf",3.29583686600433,5.09901951359278,5.52538206968385,5.07222088649086
409,43,-22,"10/2/2012",419,64,"Major Market","South",13,"Leaves","Herbal Tea","Lemon",28,107,"Texas",30,60,50,90,36,"Decaf",3.36729582998647,5.29150262212918,5.72453815488877,5.2339636095422
850,38,-15,"10/3/2012",871,56,"Major Market","East",10,"Leaves","Tea","Darjeeling",35,94,"Florida",40,60,50,100,21,"Regular",3.58351893845611,5.91607978309962,6.35165626414742,5.74099212718134
562,72,6,"10/4/2012",650,110,"Major Market","West",23,"Leaves","Tea","Green Tea",56,182,"California",20,60,50,80,54,"Regular",4.04305126783455,7.48331477354788,7.81821454618752,6.91211959890164
712,0,-29,"10/5/2012",430,43,"Small Market","Central",0,"Beans","Espresso","Decaf Espresso",31,43,"Iowa",0,60,60,60,12,"Decaf",3.46573590279973,5.56776436283002,6.00538449812395,5.46146854042967
860,47,-29,"10/6/2012",375,64,"Small Market","East",15,"Beans","Espresso","Decaf Espresso",21,111,"Connecticut",30,60,50,90,43,"Decaf",3.09104245335832,4.58257569495584,4.97558582846753,4.62407670458834
918,27,-39,"10/7/2012",859,39,"Small Market","South",7,"Beans","Coffee","Decaf Irish Cream",21,66,"Oklahoma",30,60,60,90,18,"Decaf",3.09104245335832,4.58257569495584,4.97558582846753,4.62407670458834
775,31,-43,"10/8/2012",1000,37,"Small Market","West",9,"Beans","Coffee","Decaf Irish Cream",7,68,"Nevada",30,60,50,90,30,"Decaf",2.07944154167984,2.64575131106459,2.64263320840332,2.71241120422866
435,40,-23,"10/9/2012",881,59,"Small Market","West",11,"Beans","Espresso","Decaf Espresso",37,99,"Utah",20,60,60,80,22,"Decaf",3.63758615972639,6.08276253029822,6.51446763308446,5.8720332510247
603,49,-27,"10/10/2012",310,71,"Small Market","East",15,"Beans","Coffee","Amaretto",33,120,"New Hampshire",30,60,60,90,38,"Regular",3.52636052461616,5.74456264653803,6.18219544910834,5.60433503985148
603,45,-26,"10/11/2012",447,69,"Small Market","East",14,"Beans","Coffee","Colombian",24,114,"New Hampshire",30,60,50,90,45,"Regular",3.2188758248682,4.89897948556636,5.31519311320155,4.90116517042541
603,45,-37,"10/12/2012",320,64,"Small Market","East",41,"Beans","Espresso","Caffe Mocha",1e-05,109,"New Hampshire",30,60,30,90,71,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
318,60,-9,"10/13/2012",-762,84,"Small Market","South",54,"Beans","Espresso","Caffe Latte",1,144,"Louisiana",30,60,10,90,83,"Regular",0.693147180559945,1,0,0.7555321818971
775,34,-32,"10/14/2012",240,43,"Small Market","West",12,"Beans","Coffee","Colombian",1e-05,77,"Nevada",40,60,30,100,45,"Regular",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
503,54,-28,"10/15/2012",404,66,"Small Market","West",20,"Beans","Espresso","Caffe Latte",12,120,"Oregon",40,60,40,100,54,"Regular",2.56494935746154,3.46410161513775,3.6914529978149,3.57089490862785
573,45,-36,"10/16/2012",320,64,"Small Market","Central",41,"Leaves","Herbal Tea","Chamomile",1e-05,109,"Missouri",20,60,30,80,70,"Decaf",9.99995000039884e-06,0.00316227766016838,-3.22792407799438,9.99996225988376e-06
